EventID,ISIN,EventDate,Group,BlockSize,CAR_[-10;+10],CAR_[-5;+5],CAR_[-2;+5],CAR_[-2;+2],CAR_[-1;+1],CAR_[-1;+0],Block_3,Block_5,Block_10,Block_20,Block_30,GROUP_A,GROUP_F,GROUP_S,Leverage_T-1,MarketCap_T-1,NetSales_T-1,SalesGrowth,MarketToBookValue_T-1,ReturnOnAssets_T-1,TurnoverByVolume,BHAR,HasNAN
60,DE000A0KFKB3,2012-02-02,Strategic,TWENTY,0.0950,0.0575,0.0724,0.0954,0.0417,0.0996,0,0,0,1,0,0,0,1,102.08,33937,60038,-0.23,0.30,3.44,88.10,0.1035,FALSE
61,DE0006006703,2013-10-25,Strategic,FIVE,0.1189,0.0400,0.0439,0.0290,0.0052,0.0043,0,1,0,0,0,0,0,1,152.19,28083,51452,-0.29,0.96,6.70,nan,0.1227,TRUE
62,DE000A12DM80,2019-09-09,Activist,FIVE,-0.0930,-0.0972,-0.0771,-0.0748,-0.0305,-0.0134,0,1,0,0,0,1,0,0,68.50,4321216,531748,0.11,4.16,7.64,217.20,-0.1524,FALSE
63,DE000A0KFKB3,2013-08-08,FinancialBlock,TEN,0.0085,0.0021,0.0062,0.0076,-0.0013,-0.0187,0,0,1,0,0,0,1,0,172.53,29211,54118,-0.10,0.43,0.97,36.10,0.0118,FALSE
64,DE000A12B8Z4,2018-04-17,FinancialBlock,TEN,0.0323,0.0262,0.0318,0.0253,0.0388,0.0267,0,0,1,0,0,0,1,0,81.24,2259428,211052,0.21,0.71,9.75,167.50,0.0013,FALSE
65,DE0005878003,2015-03-05,FinancialBlock,FIVE,-0.0375,-0.0038,0.0070,0.0259,-0.0249,-0.0165,0,1,0,0,0,0,1,0,5.98,1852223,2229013,0.09,1.62,5.71,460.50,0.0582,FALSE
66,DE000A1PG8V8,2014-11-18,FinancialBlock,FIVE,0.0407,0.0159,0.0208,0.0126,0.0069,0.0046,0,1,0,0,0,0,1,0,24.29,117870,200294,0.12,0.89,20.99,nan,0.1567,TRUE
67,DE0006873805,2010-10-14,FinancialBlock,THREE,-0.0146,-0.0460,-0.0631,-0.0561,-0.0131,-0.0106,1,0,0,0,0,0,1,0,0.00,14154,14460,-0.05,0.94,4.54,4.00,-0.1607,FALSE
68,DE000A1H8MU2,2013-04-25,FinancialBlock,THIRTY,-0.1333,-0.0489,-0.0789,-0.0880,0.0002,0.0104,0,0,0,0,1,0,1,0,85.59,86696,506083,0.06,1.45,6.57,45.60,-0.0191,FALSE
69,DE0005875306,2014-12-30,FinancialBlock,THREE,-0.0273,0.0652,-0.0235,-0.0269,-0.0203,-0.0183,1,0,0,0,0,0,1,0,69.67,1471290,1494793,-0.01,2.54,nan,2.40,-0.0068,TRUE
